#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  23000      2.66e+00    2.25e+00      2.13e-02    2.07e-02      9.30e-02    7.86e-02    8.1e-04
  23100      2.62e+00    2.56e+00      1.04e-03    1.81e-03      9.19e-02    8.98e-02    8.1e-04
  23200      2.57e+00    2.45e+00      1.60e-02    1.49e-02      9.00e-02    8.57e-02    8.1e-04
  23300      2.43e+00    2.37e+00      1.82e-02    1.80e-02      8.50e-02    8.29e-02    8.1e-04
  23400      2.58e+00    2.39e+00      5.86e-03    5.69e-03      9.04e-02    8.37e-02    8.1e-04
  23500      2.60e+00    2.51e+00      8.85e-03    8.57e-03      9.12e-02    8.80e-02    8.1e-04
  23600      2.81e+00    2.80e+00      1.81e-02    1.76e-02      9.84e-02    9.79e-02    8.1e-04
  23700      2.58e+00    2.52e+00      6.98e-03    6.29e-03      9.03e-02    8.84e-02    8.1e-04
  23800      2.40e+00    2.39e+00      2.89e-02    2.88e-02      8.38e-02    8.36e-02    8.1e-04
  23900      2.29e+00    2.32e+00      2.59e-03    1.99e-03      8.03e-02    8.14e-02    8.1e-04
  24000      2.37e+00    2.24e+00      1.38e-02    1.34e-02      8.29e-02    7.86e-02    8.1e-04
  24100      2.59e+00    2.44e+00      3.29e-03    1.65e-03      9.07e-02    8.54e-02    8.1e-04
  24200      2.40e+00    2.05e+00      5.96e-03    4.28e-03      8.39e-02    7.17e-02    8.1e-04
  24300      2.53e+00    2.47e+00      3.93e-02    3.98e-02      8.82e-02    8.60e-02    8.1e-04
  24400      2.50e+00    2.27e+00      3.37e-02    3.40e-02      8.72e-02    7.91e-02    8.1e-04
  24500      2.50e+00    2.57e+00      2.10e-02    2.07e-02      8.75e-02    8.98e-02    8.1e-04
  24600      2.57e+00    2.53e+00      2.00e-02    2.09e-02      8.98e-02    8.85e-02    8.1e-04
  24700      2.32e+00    2.28e+00      4.64e-03    5.35e-03      8.14e-02    8.00e-02    8.1e-04
  24800      2.49e+00    2.49e+00      3.34e-02    3.35e-02      8.69e-02    8.69e-02    8.1e-04
  24900      2.62e+00    2.49e+00      2.45e-03    3.61e-03      9.17e-02    8.71e-02    8.1e-04
  25000      2.37e+00    2.46e+00      1.85e-02    1.91e-02      8.52e-02    8.84e-02    7.7e-04
  25100      2.61e+00    2.32e+00      1.89e-03    1.03e-03      9.37e-02    8.32e-02    7.7e-04
  25200      2.30e+00    2.01e+00      1.96e-02    2.00e-02      8.25e-02    7.23e-02    7.7e-04
  25300      2.45e+00    2.03e+00      3.03e-03    2.36e-03      8.80e-02    7.31e-02    7.7e-04
  25400      2.18e+00    2.48e+00      3.76e-02    3.74e-02      7.80e-02    8.85e-02    7.7e-04
  25500      2.37e+00    2.29e+00      1.48e-02    1.41e-02      8.51e-02    8.23e-02    7.7e-04
